City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Camapua,BR,-19.5314,-54.0439,82.56,64,71,8.79,broken clouds
80,Qasigiannguit,GL,68.8193,-51.1922,8.6,40,1,16.11,clear sky
81,Maple Creek,CA,49.9168,-109.4848,1.4,78,100,10.36,overcast clouds
82,Ippy,CF,6.2679,21.2247,83.3,22,0,4.88,clear sky
83,Punta Arenas,CL,-53.15,-70.9167,59.0,38,0,28.77,clear sky
84,Zorritos,PE,-3.6805,-80.6782,84.2,70,75,8.05,broken clouds
85,Cabo San Lucas,MX,22.8909,-109.9124,84.0,31,20,4.61,few clouds
86,Bougouni,ML,11.417,-7.479,87.33,14,100,3.09,overcast clouds
87,Khatanga,RU,71.9667,102.5,-31.54,79,13,7.99,few clouds
88,Kathu,TH,7.9178,98.3332,78.8,73,20,6.91,few clouds
89,Mahebourg,MU,-20.4081,57.7,80.6,78,40,8.05,light rain
90,Phanom Sarakham,TH,13.7479,101.3553,81.0,63,0,4.18,clear sky
91,Camocim,BR,-2.9022,-40.8411,86.02,53,2,18.88,clear sky
92,Severnyy,RU,50.677,36.5532,15.8,79,75,15.66,light snow
93,Hilo,US,19.7297,-155.09,70.0,60,75,4.61,broken clouds
94,Rocha,UY,-34.4833,-54.3333,69.13,63,4,13.35,clear sky
95,Severo-Kurilsk,RU,50.6789,156.125,11.59,84,49,7.94,scattered clouds
96,Aklavik,CA,68.2191,-135.0107,-34.6,67,20,3.44,few clouds
97,Tasiilaq,GL,65.6145,-37.6368,21.2,63,75,5.75,broken clouds
98,Lorengau,PG,-2.0226,147.2712,79.97,77,100,0.6,overcast clouds
99,Tezpur,IN,26.6333,92.8,60.22,51,0,3.44,clear sky
100,East London,ZA,-33.0153,27.9116,69.8,100,75,9.22,light rain
101,Ribeira Grande,PT,38.5167,-28.7,59.0,72,75,12.66,broken clouds
102,Tevaitoa,PF,-16.7833,-151.5,81.32,66,6,6.64,clear sky
103,Champerico,GT,14.3,-91.9167,87.8,55,75,11.5,broken clouds
104,Roshchino,RU,60.2519,29.6085,7.0,93,59,8.46,broken clouds
105,Mayo,US,38.8876,-76.5119,55.0,62,1,10.36,clear sky
106,Lexington,US,37.9887,-84.4777,39.99,60,75,13.8,broken clouds
107,Jamestown,US,42.097,-79.2353,28.99,63,75,19.57,broken clouds
108,Samana,DO,19.2056,-69.3369,86.0,74,20,11.5,few clouds
109,Ibitinga,BR,-21.7578,-48.8289,81.91,74,0,11.01,clear sky
110,Constitucion,CL,-35.3333,-72.4167,65.17,68,60,6.24,broken clouds
111,Olafsvik,IS,64.8945,-23.7142,38.19,81,94,31.47,overcast clouds
112,Leningradskiy,RU,69.3833,178.4167,-12.14,87,100,8.23,overcast clouds
113,Koster,ZA,-25.863,26.8976,64.04,94,100,5.95,moderate rain
114,Jaciara,BR,-15.9653,-54.9683,85.6,67,54,8.01,broken clouds
115,Bukene,TZ,-4.2333,32.8833,67.77,83,12,2.64,light rain
116,Hobart,AU,-42.8794,147.3294,64.99,94,75,8.05,light rain
117,Bonavista,CA,48.6499,-53.1147,39.2,93,100,4.61,overcast clouds
118,Saint-Denis,FR,48.9167,2.3333,51.01,87,0,5.75,clear sky
119,Tiksi,RU,71.6872,128.8694,-17.52,89,100,14.09,overcast clouds
120,Isangel,VU,-19.55,169.2667,75.2,94,20,1.25,few clouds
121,Souillac,MU,-20.5167,57.5167,80.6,78,40,8.05,scattered clouds
122,Margate,GB,51.3813,1.3862,46.99,85,0,1.99,clear sky
123,Batagay,RU,67.6333,134.6333,-35.75,81,99,2.06,overcast clouds
124,Kudahuvadhoo,MV,2.6708,72.8944,81.36,75,100,11.68,overcast clouds
125,Faanui,PF,-16.4833,-151.75,81.18,66,9,6.24,clear sky
126,Kapit,MY,2.0167,112.9333,72.82,95,100,0.94,overcast clouds
127,Katsuura,JP,35.1333,140.3,42.8,75,75,11.5,broken clouds
128,Viedma,AR,-40.8135,-62.9967,102.99,14,0,5.99,clear sky
129,Jerusalem,IL,31.769,35.2163,55.99,92,43,7.0,scattered clouds
130,Bubaque,GW,11.2833,-15.8333,78.33,68,100,22.08,overcast clouds
