City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Tuatapere,NZ,2021-02-04 02:16:15,-46.1333,167.6833,65.71,44,0,9.35
68,Hobart,AU,2021-02-04 02:16:15,-42.8794,147.3294,73.0,64,20,6.91
69,Sao Raimundo Das Mangabeiras,BR,2021-02-04 02:16:15,-7.0219,-45.4811,76.51,79,41,2.8
70,Khatanga,RU,2021-02-04 02:14:59,71.9667,102.5,-18.53,87,35,12.71
71,Dikson,RU,2021-02-04 02:16:16,73.5069,80.5464,-11.7,91,85,11.5
72,Hohhot,CN,2021-02-04 02:16:16,40.8106,111.6522,19.4,42,0,2.24
73,Havelock,US,2021-02-04 02:14:46,34.8791,-76.9013,41.0,52,1,9.22
74,Pisco,PE,2021-02-04 02:16:16,-13.7,-76.2167,71.6,78,0,6.91
75,Pochutla,MX,2021-02-04 02:16:16,15.7432,-96.4661,71.4,86,0,1.95
76,Berlevag,NO,2021-02-04 02:16:16,70.8578,29.0864,29.3,94,100,21.88
77,Whitianga,NZ,2021-02-04 02:16:17,-36.8333,175.7,71.06,60,0,7.54
78,Barrow,US,2021-02-04 02:16:17,71.2906,-156.7887,-25.6,62,1,16.11
79,Upernavik,GL,2021-02-04 02:14:49,72.7868,-56.1549,-15.52,70,0,4.85
80,Wladyslawowo,PL,2021-02-04 02:16:17,54.7909,18.4009,32.0,93,75,19.57
81,Maragogi,BR,2021-02-04 02:16:17,-9.0122,-35.2225,77.34,82,13,7.11
82,Minudasht,IR,2021-02-04 02:16:17,37.2289,55.3747,39.2,87,0,4.74
83,Haines Junction,CA,2021-02-04 02:16:17,60.7522,-137.5108,-18.4,76,99,1.66
84,Discovery Bay,US,2021-02-04 02:16:18,37.9085,-121.6002,53.01,76,75,11.5
85,Wenling,CN,2021-02-04 02:16:18,28.3669,121.36,60.01,66,28,10.07
86,Lebu,CL,2021-02-04 02:14:15,-37.6167,-73.65,57.83,90,2,13.04
87,Kosa,RU,2021-02-04 02:16:18,59.9445,54.9977,7.93,95,100,5.5
88,Fort Nelson,CA,2021-02-04 02:16:18,58.8053,-122.7002,-7.6,77,75,6.91
89,Mount Isa,AU,2021-02-04 02:16:18,-20.7333,139.5,95.0,38,40,13.8
90,Erenhot,CN,2021-02-04 02:16:18,43.6475,111.9767,17.1,87,0,15.01
91,Punta Arenas,CL,2021-02-04 02:16:19,-53.15,-70.9167,59.0,77,0,13.8
92,Severo-Kurilsk,RU,2021-02-04 02:16:19,50.6789,156.125,11.16,92,100,31.38
93,Toora-Khem,RU,2021-02-04 02:16:19,52.4675,96.11,15.62,94,100,4.32
94,Surt,LY,2021-02-04 02:16:19,31.2089,16.5887,57.65,80,0,3.11
95,Kovalevskoye,RU,2021-02-04 02:16:19,45.1942,40.9761,46.83,64,100,4.79
96,Krasnoselkup,RU,2021-02-04 02:16:20,65.7,82.4667,-7.1,91,97,6.11
97,Iqaluit,CA,2021-02-04 02:15:17,63.7506,-68.5145,-4.0,77,90,2.3
98,Naraina,IN,2021-02-04 02:16:20,26.7833,75.2,60.8,67,75,5.75
99,Garden City,US,2021-02-04 02:16:20,42.3256,-83.331,28.4,59,1,3.78
100,Chivilcoy,AR,2021-02-04 02:16:20,-34.8957,-60.0167,69.01,66,42,4.0
101,Kautokeino,NO,2021-02-04 02:16:20,69.0125,23.0412,18.84,93,100,17.69
102,Butaritari,KI,2021-02-04 02:15:12,3.0707,172.7902,81.52,83,67,15.19
103,Qaanaaq,GL,2021-02-04 02:16:12,77.484,-69.3632,-22.02,64,0,4.92
104,Pokaran,IN,2021-02-04 02:16:21,26.9167,71.9167,57.92,35,0,7.61
105,La Ronge,CA,2021-02-04 02:16:21,55.1001,-105.2842,5.0,78,100,6.91
106,Codrington,AU,2021-02-04 02:14:44,-38.2667,141.9667,79.66,34,100,11.79
107,Sao Jose Da Coroa Grande,BR,2021-02-04 02:16:21,-8.8978,-35.1478,77.72,81,0,7.56
108,Sao Gabriel Da Cachoeira,BR,2021-02-04 02:16:22,-0.1303,-67.0892,74.84,97,100,1.43
109,Puerto Madero,MX,2021-02-04 02:16:22,14.7208,-92.4215,75.2,94,20,3.94
110,Ambanja,MG,2021-02-04 02:16:22,-13.6833,48.45,75.07,85,100,3.51
111,Hobyo,SO,2021-02-04 02:16:22,5.3505,48.5268,75.58,81,48,16.69
112,Myronivka,UA,2021-02-04 02:16:22,49.6601,30.9823,33.91,97,100,9.86
113,Norman Wells,CA,2021-02-04 02:16:22,65.282,-126.8329,-36.4,67,75,4.61
